show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
s12;TV Show;1983;;Robert Wi?ckiewicz, Maciej Musia?, Michalina Olsza?ska, Andrzej Chyra, Clive Russell, Zofia Wich?acz, Edyta Olszówka, Mateusz Ko?ciukiewicz, Ewa B?aszczyk, Vu Le Hong, Tomasz W?osok, Krzysztof Wach;Poland, United States;30/11/2018;2018;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.
s13;TV Show;1994;Diego Enrique Osorno;;Mexico;17/05/2019;2019;TV-MA;1 Season;Crime TV Shows, Docuseries, International TV Shows;Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.
s14;Movie;2,215;Nottapon Boonprakob;Artiwara Kongmalai;Thailand;01/03/2019;2018;TV-MA;89 min;Documentaries, International Movies, Sports Movies;This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.
s15;Movie;3022;John Suits;Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman;United States;19/03/2020;2019;R;91 min;Independent Movies, Sci-Fi & Fantasy, Thrillers;Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.
s18;Movie;22-Jul;Paul Greengrass;Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith;Norway, Iceland, United States;10/10/2018;2018;R;144 min;Dramas, Thrillers;After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.
s27;TV Show;(Un)Well;;;United States;12/08/2020;2020;TV-MA;1 Season;Reality TV;This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?
s28;Movie;#Alive;Cho Il;Yoo Ah-in, Park Shin-hye;South Korea;08/09/2020;2020;TV-MA;99 min;Horror Movies, International Movies, Thrillers;As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.
s30;TV Show;#blackAF;;Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers;United States;17/04/2020;2020;TV-MA;1 Season;TV Comedies;Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.
s37;Movie;#Selfie;Cristina Jacob;Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu;Romania;01/06/2019;2014;TV-MA;125 min;Comedies, Dramas, International Movies;Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.
s38;Movie;#Selfie 69;Cristina Jacob;Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut;Romania;01/06/2019;2016;TV-MA;119 min;Comedies, Dramas, International Movies;After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.
s40;Movie;¡Ay, mi madre!;Frank Ariza;Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán;Spain;19/07/2019;2019;TV-MA;81 min;Comedies, International Movies;When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.
s42;Movie;Ég man þig;Óskar Thór Axelsson;Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson;Iceland;27/03/2018;2017;TV-MA;106 min;Horror Movies, International Movies;Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.
s43;Movie;Çok Filim Hareketler Bunlar;Ozan Aç?ktan;Ayça Erturan, Aydan Ta?, Ay?egül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Bü?ra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tu?ral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, ?brahim Büyükak, Metin Keçeci;Turkey;10/03/2017;2010;TV-MA;99 min;Comedies, International Movies;Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.
s44;Movie;Òlòt?ré;Kenneth Gyang;Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua;Nigeria;02/10/2020;2020;TV-MA;107 min;Dramas, International Movies;In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.
s45;Movie;Æon Flux;Karyn Kusama;Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen;United States;01/02/2018;2005;PG-13;93 min;Action & Adventure, Sci-Fi & Fantasy;Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.
s46;TV Show;?ubat;;Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan U?ur, Ülkü Duru, Tansu Biçer, Nadir Sar?bacak, Sermet Ye?il, Ayhan Kavas;Turkey;17/01/2017;2013;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.
s51;Movie;10,000 B.C.;Roland Emmerich;Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif;United States, South Africa;01/06/2019;2008;PG-13;109 min;Action & Adventure;Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
s53;Movie;100 Days Of Solitude;;;Spain;06/07/2018;2018;TV-MA;93 min;Documentaries, International Movies;Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.
s55;Movie;100 Meters;Marcel Barrena;Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer;Portugal, Spain;10/03/2017;2016;TV-MA;109 min;Dramas, International Movies, Sports Movies;A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.
s61;Movie;12 ROUND GUN;Sam Upton;Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone;United States;14/03/2019;2017;TV-MA;90 min;Dramas, Independent Movies, Sports Movies;Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.
s64;TV Show;13 Reasons Why;;Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves;United States;05/06/2020;2020;TV-MA;4 Seasons;Crime TV Shows, TV Dramas, TV Mysteries;After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.
s65;TV Show;13 Reasons Why: Beyond the Reasons;;Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms;United States;23/08/2019;2019;TV-MA;3 Seasons;Crime TV Shows, Docuseries;"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
s66;Movie;13 Sins;Daniel Stamm;Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince;United States;13/01/2019;2014;R;93 min;Horror Movies, Thrillers;A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.
s67;Movie;13TH;Ava DuVernay;;United States;07/10/2016;2016;TV-MA;101 min;Documentaries;In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.
s69;Movie;14 Blades;Daniel Lee;Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu;Hong Kong, China, Singapore;03/04/2019;2010;R;113 min;Action & Adventure, International Movies;In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.
s70;Movie;14 Cameras;Scott Hussion, Seth Fuller;Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief;United States;27/10/2018;2018;TV-MA;89 min;Horror Movies, Thrillers;Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.
s71;Movie;14 Minutes from Earth;Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm;;United States;01/02/2019;2016;TV-MA;84 min;Documentaries;A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.
s72;Movie;16 Blocks;Richard Donner;Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz;United States, Germany;01/11/2019;2006;PG-13;102 min;Action & Adventure;Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.
s73;Movie;17 Again;Burr Steers;Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller;United States;01/01/2021;2009;PG-13;102 min;Comedies;"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again."
s74;Movie;18 Presents;Francesco Amato;Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli;Italy;08/05/2020;2020;TV-MA;114 min;Dramas, Independent Movies, International Movies;A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.
s75;Movie;1898: Our Last Men in the Philippines;Salvador Calvo;Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios;Spain;02/06/2017;2016;R;130 min;Dramas, International Movies;While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.
s76;Movie;1BR;David Marmor;Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips;United States;23/08/2020;2019;TV-MA;90 min;Horror Movies, Independent Movies, Thrillers;Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.
s77;Movie;1st Summoning;Raymond Wood;Hayley Lovitt, Teddy Cole, Brook Todd, Ace Harney, Jason Macdonald;United States;26/07/2019;2018;TV-MA;94 min;Horror Movies, Independent Movies;Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.
s78;Movie;2 Alone in Paris;Ramzy Bedia, Éric Judor;Ramzy Bedia, Éric Judor, Benoît Magimel, Kristin Scott Thomas, Élodie Bouchez, Édouard Baer, Fred Testot, Omar Sy;France;01/06/2020;2008;TV-MA;97 min;Comedies, International Movies;A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.
s80;Movie;20 Feet From Stardom;Morgan Neville;Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega;United States;22/09/2018;2013;PG-13;91 min;Documentaries, Music & Musicals;Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.
s81;TV Show;20 Minutes;;Tuba Büyüküstün, Ilker Aksum, Bülent Emin Yarar, ?pek Bilgin, Müjde Uzman, Firat Çelik, Ayten Uncuoglu, Cihat Tamer;Turkey;15/08/2017;2013;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.
s84;Movie;20th Century Women;Mike Mills;Annette Bening, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, Billy Crudup;United States;28/06/2019;2016;R;119 min;Dramas, Independent Movies;In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.
s85;Movie;21 & Over;Jon Lucas, Scott Moore;Miles Teller, Skylar Astin, Justin Chon, Sarah Wright, Jonathan Keltz, François Chau, Russell Hodgkinson, Daniel Booko, Russell Mercado, Josie Loren, Dustin Ybarra;United States;16/04/2019;2013;R;93 min;Comedies;Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.
s86;TV Show;21 Again;;Laura Morgan;United Kingdom;01/07/2020;2019;TV-MA;1 Season;British TV Shows, Reality TV;In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.
s88;TV Show;21 Thunder;;Stephanie Bennett, Emmanuel Kabongo, RJ Fetherstonhaugh, Andres Joseph, Kevin Claydon, Conrad Pla, Clark Backo, Ryan Pierce, Eileen Li, Susan Bain, Cristina Rosato, Jonathan Kim, Colm Feore;Canada;01/03/2018;2017;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.
s89;Movie;2307: Winter's Dream;Joey Curtis;Paul Sidhu, Arielle Holmes, Branden Coles, Kelcey Watson, Anne-Solenne Hatte, Brad Potts, Timothy Lee DePriest, Fernando Argosino, Duchess Dukes, Harwood Gordon, Stormi Henley;United States;01/03/2018;2016;TV-MA;101 min;Action & Adventure, Independent Movies, Sci-Fi & Fantasy;In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.
s90;Movie;24 Hours to Live;Brian Smrz;Ethan Hawke, Xu Qing, Paul Anderson, Rutger Hauer, Tyrone Keogh, Nathalie Boltt, Liam Cunningham;South Africa, China, United States;07/04/2018;2017;R;93 min;Action & Adventure;Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself.
s92;Movie;26 Years;Geun-hyun Cho;Goo Jin, Hye-jin Han, Soo-bin Bae, Seul-ong Im, Kyeong-yeong Lee, Gwang Jang, Deok-jae Jo, Eui-sung Kim, Seok-Hwan An, Bok-gi Min;South Korea;01/10/2017;2012;TV-MA;135 min;Dramas, International Movies, Thrillers;Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.
s93;Movie;27, el club de los malditos;Nicanor Loreti;Diego Capusotto, Sofía Gala, Daniel Aráoz, Willy Toledo, El Polaco, Paula Manzone, Yayo Guridi, Guillermo Toledo;Argentina;01/05/2018;2018;TV-MA;82 min;Action & Adventure, Comedies, International Movies;After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27.
s94;Movie;27: Gone Too Soon;Simon Napier-Bell;Janis Joplin, Jimi Hendrix, Amy Winehouse, Jim Morrison, Kurt Cobain;United Kingdom;01/05/2018;2017;TV-MA;70 min;Documentaries;Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse.
s95;Movie;28 Days;Betty Thomas;Sandra Bullock, Viggo Mortensen, Dominic West, Diane Ladd, Elizabeth Perkins, Steve Buscemi, Alan Tudyk, Mike O'Malley, Azura Skye, Reni Santoni, Marianne Jean-Baptiste;United States;30/09/2020;2000;PG-13;104 min;Comedies, Dramas;After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook.
s97;Movie;3 Days to Kill;McG;Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis, Richard Sammel, Marc Andréoni, Bruno Ricci, Jonas Bloquet, Eriq Ebouaney;United States, France, Serbia;01/12/2020;2014;PG-13;117 min;Action & Adventure;A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.
s98;Movie;3 Deewarein;Nagesh Kukunoor;Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas;;31/12/2019;2003;TV-MA;121 min;Dramas, International Movies, Thrillers;A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.
s99;Movie;3 Generations;Gaby Dellal;Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson;United States;28/08/2017;2015;PG-13;92 min;Dramas, LGBTQ Movies;When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.
s101;Movie;3 Idiots;Rajkumar Hirani;Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey;India;01/08/2019;2009;PG-13;164 min;Comedies, Dramas, International Movies;While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.
s103;Movie;3 Türken & ein Baby;Sinan Akku?;Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar;Germany;15/12/2016;2015;TV-MA;93 min;Comedies, International Movies;The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
s105;Movie;30 Minutes or Less;Ruben Fleischer;Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward;United States;01/01/2021;2011;R;83 min;Action & Adventure, Comedies;Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.
s107;Movie;365 Days;Barbara Bia?ow?s, Tomasz Mandes;Anna-Maria Sieklucka, Michele Morrone, Bronis?aw Wroc?awski, Otar Saralidze, Magdalena Lamparska, Natasza Urba?ska, Gra?yna Szapo?owska, Tomasz Stockinger, Gianni Parisi, Mateusz ?asowski;Poland;07/06/2020;2020;TV-MA;114 min;Dramas, International Movies, Romantic Movies;A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.
s108;Movie;37 Seconds;Hikari;Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi;Japan;31/01/2020;2020;TV-MA;116 min;Dramas, International Movies;Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.
s111;Movie;42 Grams;Jack C. Newell;Jake Bickelhaupt;United States;01/02/2018;2017;TV-MA;81 min;Documentaries;After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery.
s113;TV Show;45 rpm;;Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde, Eudald Font, Luis Larrodera, Carmen Gutiérrez, Diana Gómez, Vito Sanz, Marina San José, Pere Ponce, Joan Pera;Spain;16/08/2019;2019;TV-MA;1 Season;International TV Shows, Romantic TV Shows, Spanish-Language TV Shows;In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.
s115;Movie;4L;Gerardo Olivares;Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen;Spain;12/07/2019;2019;TV-MA;105 min;Comedies, Dramas, Independent Movies;Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.
s117;Movie;4th Republic;Ishaya Bako;Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani Mu’azu, Emil Hirai-Garuba, Rekiya Ibrahim Atta;Nigeria;13/06/2020;2019;TV-MA;120 min;Dramas, International Movies, Thrillers;After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.
s118;Movie;5 Cowok Jagoan;Anggy Umbara;Ario Bayu, Arifin Putra, Dwi Sasono, Muhadkly Acho, Cornelio Sunny, Tika Bravani, Nirina Zubir, Ganindra Bimo, Verdi Solaiman;;05/01/2019;2017;TV-MA;106 min;Action & Adventure, Comedies, International Movies;Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.
s119;Movie;5 Flights Up;Richard Loncraine;Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer;United States;17/03/2019;2014;PG-13;92 min;Comedies, Dramas, Independent Movies;A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.
s121;Movie;5 to 7;Victor Levin;Anton Yelchin, Bérénice Marlohe, Olivia Thirlby, Lambert Wilson, Frank Langella, Glenn Close;United States;16/03/2017;2014;R;97 min;Comedies, Dramas, Romantic Movies;A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.
s122;Movie;50 First Dates;Peter Segal;Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph;United States;01/12/2020;2004;PG-13;99 min;Comedies, Romantic Movies;After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.
s123;Movie;50/50;Jonathan Levine;Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy;United States;01/06/2019;2011;R;100 min;Comedies, Dramas, Independent Movies;An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.
